fips,state,county,medianAge
19151,IA,Pocahontas County,44.9
19153,IA,Polk County,36.3
19155,IA,Pottawattamie County,40.4
19157,IA,Poweshiek County,40.7
19159,IA,Ringgold County,43
19161,IA,Sac County,44.7
19163,IA,Scott County,39.3
19165,IA,Shelby County,45.1
19167,IA,Sioux County,34.4
19169,IA,Story County,26.6
19171,IA,Tama County,41.7
19173,IA,Taylor County,41.8
19175,IA,Union County,41.4
19177,IA,Van Buren County,43.6
19179,IA,Wapello County,39.5
19181,IA,Warren County,38.8
19183,IA,Washington County,40.3
19185,IA,Wayne County,40.8
19187,IA,Webster County,39.1
19189,IA,Winnebago County,41.5
19191,IA,Winneshiek County,43.1
19193,IA,Woodbury County,36.2
19195,IA,Worth County,44.2
19197,IA,Wright County,42.1
20001,KS,Allen County,40.8
20003,KS,Anderson County,41.4
20005,KS,Atchison County,36.9
20007,KS,Barber County,43.6
20009,KS,Barton County,40.3
20011,KS,Bourbon County,38.5
20013,KS,Brown County,41
20015,KS,Butler County,38.4
20017,KS,Chase County,44.4
20019,KS,Chautauqua County,45
20021,KS,Cherokee County,42.1
20023,KS,Cheyenne County,44.5
20025,KS,Clark County,41.1
20027,KS,Clay County,43.4
20029,KS,Cloud County,40.2
20031,KS,Coffey County,43.7
20033,KS,Comanche County,44.3
20035,KS,Cowley County,39.1
20037,KS,Crawford County,33.5
20039,KS,Decatur County,50.2
20041,KS,Dickinson County,42.5
20043,KS,Doniphan County,41.5
20045,KS,Douglas County,31.4
20047,KS,Edwards County,43.9
20049,KS,Elk County,48.4
20051,KS,Ellis County,33.1
20053,KS,Ellsworth County,43.1
20055,KS,Finney County,31.9
20057,KS,Ford County,32
20059,KS,Franklin County,40.2
20061,KS,Geary County,26.9
20063,KS,Gove County,41.9
20065,KS,Graham County,47.5
20067,KS,Grant County,34.4
20069,KS,Gray County,35.4
20071,KS,Greeley County,38.6
20073,KS,Greenwood County,47.5
20075,KS,Hamilton County,37
20077,KS,Harper County,42.1
20079,KS,Harvey County,40
20081,KS,Haskell County,37.1
20083,KS,Hodgeman County,42.1
20085,KS,Jackson County,40.8
20087,KS,Jefferson County,43.8
20089,KS,Jewell County,51.2
20091,KS,Johnson County,38.6
20093,KS,Kearny County,35.9
20095,KS,Kingman County,42.6
20097,KS,Kiowa County,40.6
20099,KS,Labette County,41.1
20101,KS,Lane County,44.4
20103,KS,Leavenworth County,38.3
20105,KS,Lincoln County,45.9
20107,KS,Linn County,45.5
20109,KS,Logan County,40.3
20111,KS,Lyon County,33.3
20113,KS,McPherson County,39.7
20115,KS,Marion County,43.4
20117,KS,Marshall County,42.4
20119,KS,Meade County,38.5
20121,KS,Miami County,41.6
20123,KS,Mitchell County,42
20125,KS,Montgomery County,40.7
20127,KS,Morris County,45.6
20129,KS,Morton County,41.6
20131,KS,Nemaha County,38.7
20133,KS,Neosho County,40.1
20135,KS,Ness County,45.4
20137,KS,Norton County,41.6
20139,KS,Osage County,42.7
20141,KS,Osborne County,45.2
20143,KS,Ottawa County,43
20145,KS,Pawnee County,46.2
20147,KS,Phillips County,45.5
20149,KS,Pottawatomie County,36.1
20151,KS,Pratt County,39.3
20153,KS,Rawlins County,45.4
20155,KS,Reno County,40.8
20157,KS,Republic County,46.1
20159,KS,Rice County,39.2
20161,KS,Riley County,25.2
20163,KS,Rooks County,44.1
20165,KS,Rush County,46.7
20167,KS,Russell County,44.6
20169,KS,Saline County,40.4
20171,KS,Scott County,38.6
20173,KS,Sedgwick County,36.3
20175,KS,Seward County,30.5
20177,KS,Shawnee County,40
20179,KS,Sheridan County,42.3
20181,KS,Sherman County,39.8
20183,KS,Smith County,49.7
20185,KS,Stafford County,41.6
20187,KS,Stanton County,37.8
20189,KS,Stevens County,36.8
20191,KS,Sumner County,41
20193,KS,Thomas County,35.5
20195,KS,Trego County,49.3
20197,KS,Wabaunsee County,43.8
20199,KS,Wallace County,40.8
20201,KS,Washington County,43.1
20203,KS,Wichita County,40.1
20205,KS,Wilson County,42.6
20207,KS,Woodson County,46.8
20209,KS,Wyandotte County,34.7
21001,KY,Adair County,41.7
21003,KY,Allen County,40.9
21005,KY,Anderson County,41.1
21007,KY,Ballard County,44.7
21009,KY,Barren County,40.7
21011,KY,Bath County,39.6
21013,KY,Bell County,41.7
21015,KY,Boone County,38.2
21017,KY,Bourbon County,42.8
21019,KY,Boyd County,42.3
21021,KY,Boyle County,39.9
21023,KY,Bracken County,41.5
21025,KY,Breathitt County,43
21027,KY,Breckinridge County,42.7
21029,KY,Bullitt County,41.6
21031,KY,Butler County,41.6
21033,KY,Caldwell County,42.4
21035,KY,Calloway County,35.4
21037,KY,Campbell County,39.5
21039,KY,Carlisle County,42.3
21041,KY,Carroll County,37.7
21043,KY,Carter County,41.9
21045,KY,Casey County,42.1
21047,KY,Christian County,28.4
21049,KY,Clark County,41.1
21051,KY,Clay County,40.1
21053,KY,Clinton County,43.1
21055,KY,Crittenden County,43.2
21057,KY,Cumberland County,44.9
21059,KY,Daviess County,38.7
21061,KY,Edmonson County,45.5
21063,KY,Elliott County,43.6
21065,KY,Estill County,43.6
21067,KY,Fayette County,35.5
21069,KY,Fleming County,40.9
21071,KY,Floyd County,42.4
21073,KY,Franklin County,40.9
21075,KY,Fulton County,41.1
21077,KY,Gallatin County,38.8
21079,KY,Garrard County,43.7
21081,KY,Grant County,36.9
21083,KY,Graves County,40.3
21085,KY,Grayson County,40.8
21087,KY,Green County,44.5
21089,KY,Greenup County,44.1
21091,KY,Hancock County,41
21093,KY,Hardin County,37.6
21095,KY,Harlan County,41.4
21097,KY,Harrison County,41.5
21099,KY,Hart County,40.3
21101,KY,Henderson County,41.3
21103,KY,Henry County,41.4
21105,KY,Hickman County,48.1
21107,KY,Hopkins County,41
21109,KY,Jackson County,41.8
21111,KY,Jefferson County,38.8
21113,KY,Jessamine County,38.7
21115,KY,Johnson County,42.4
21117,KY,Kenton County,38
21119,KY,Knott County,43.9
21121,KY,Knox County,39.7
21123,KY,Larue County,41.1
21125,KY,Laurel County,40.2
21127,KY,Lawrence County,41.5
21129,KY,Lee County,42.6
21131,KY,Leslie County,43.3
21133,KY,Letcher County,43.7
21135,KY,Lewis County,42.9
21137,KY,Lincoln County,40.7
21139,KY,Livingston County,46.3
21141,KY,Logan County,40.1
21143,KY,Lyon County,47
21145,KY,McCracken County,42.2
21147,KY,McCreary County,39.8
21149,KY,McLean County,42
21151,KY,Madison County,34.8
21153,KY,Magoffin County,42.9
21155,KY,Marion County,40.4
21157,KY,Marshall County,45.2
21159,KY,Martin County,39.7
21161,KY,Mason County,41.5
21163,KY,Meade County,40
21165,KY,Menifee County,47.1
21167,KY,Mercer County,42.6
21169,KY,Metcalfe County,42.1
21171,KY,Monroe County,41.9
21173,KY,Montgomery County,39.9
21175,KY,Morgan County,41.7
21177,KY,Muhlenberg County,42.6
21179,KY,Nelson County,40.3
21181,KY,Nicholas County,40.1
21183,KY,Ohio County,41
21185,KY,Oldham County,40.2
21187,KY,Owen County,43.7
21189,KY,Owsley County,41.7
21191,KY,Pendleton County,41.6
21193,KY,Perry County,41.2
21195,KY,Pike County,43.6
21197,KY,Powell County,39.7
21199,KY,Pulaski County,42.6
21201,KY,Robertson County,45.9
21203,KY,Rockcastle County,43.4
21205,KY,Rowan County,31.9
21207,KY,Russell County,43.4
21209,KY,Scott County,36.7
21211,KY,Shelby County,40.9
21213,KY,Simpson County,39.4
21215,KY,Spencer County,42.2
21217,KY,Taylor County,37.7
21219,KY,Todd County,37.6
21221,KY,Trigg County,46
21223,KY,Trimble County,42.5
21225,KY,Union County,43.9
21227,KY,Warren County,33.3
21229,KY,Washington County,42.3
21231,KY,Wayne County,44.5
21233,KY,Webster County,41.2
21235,KY,Whitley County,35.4
21237,KY,Wolfe County,43.3
21239,KY,Woodford County,43.4
22001,LA,Acadia Parish,37.5
22003,LA,Allen Parish,37.5
22005,LA,Ascension Parish,36.8
22007,LA,Assumption Parish,43
22009,LA,Avoyelles Parish,39
22011,LA,Beauregard Parish,37.3
22013,LA,Bienville Parish,42.6
22015,LA,Bossier Parish,37
22017,LA,Caddo Parish,39.5
22019,LA,Calcasieu Parish,37.5
22021,LA,Caldwell Parish,39.4
22023,LA,Cameron Parish,41.4
22025,LA,Catahoula Parish,40.9
22027,LA,Claiborne Parish,42.6
22029,LA,Concordia Parish,39.1
22031,LA,De Soto Parish,40.6
22033,LA,East Baton Rouge Parish,34.3
22035,LA,East Carroll Parish,36.8
22037,LA,East Feliciana Parish,43.8
22039,LA,Evangeline Parish,36.7
22041,LA,Franklin Parish,39.6
22043,LA,Grant Parish,37.7
22045,LA,Iberia Parish,37.9
22047,LA,Iberville Parish,40.1
22049,LA,Jackson Parish,42.4
22051,LA,Jefferson Parish,40.4
22053,LA,Jefferson Davis Parish,38.1
22055,LA,Lafayette Parish,36.9
22057,LA,Lafourche Parish,39.3
22059,LA,LaSalle Parish,37.6
22061,LA,Lincoln Parish,28.2
22063,LA,Livingston Parish,36.7
22065,LA,Madison Parish,37.4
22067,LA,Morehouse Parish,40.9
22069,LA,Natchitoches Parish,33.7
22071,LA,Orleans Parish,38.9
22073,LA,Ouachita Parish,37
22075,LA,Plaquemines Parish,38.1
22077,LA,Pointe Coupee Parish,43.7
22079,LA,Rapides Parish,38.3
22081,LA,Red River Parish,41.3
22083,LA,Richland Parish,39.3
22085,LA,Sabine Parish,41.8
22087,LA,St. Bernard Parish,36.4
22089,LA,St. Charles Parish,39.3
22091,LA,St. Helena Parish,42
22093,LA,St. James Parish,41.3
22095,LA,St. John the Baptist Parish,39
22097,LA,St. Landry Parish,37.3
22099,LA,St. Martin Parish,39.3
22101,LA,St. Mary Parish,40.7
22103,LA,St. Tammany Parish,40.8
22105,LA,Tangipahoa Parish,36.1
22107,LA,Tensas Parish,48.7
22109,LA,Terrebonne Parish,38.5
22111,LA,Union Parish,44.1
22113,LA,Vermilion Parish,38.7
22115,LA,Vernon Parish,32.1
22117,LA,Washington Parish,40
22119,LA,Webster Parish,41.9
22121,LA,West Baton Rouge Parish,37.1
22123,LA,West Carroll Parish,42.7
22125,LA,West Feliciana Parish,43.1
22127,LA,Winn Parish,41.6
23001,ME,Androscoggin County,40.6
23003,ME,Aroostook County,48.7
23005,ME,Cumberland County,42.5
23007,ME,Franklin County,45.6
23009,ME,Hancock County,49.3
23011,ME,Kennebec County,44
23013,ME,Knox County,49.5
23015,ME,Lincoln County,51.6
23017,ME,Oxford County,48
23019,ME,Penobscot County,42.9
23021,ME,Piscataquis County,50.8
23023,ME,Sagadahoc County,47.1
23025,ME,Somerset County,47
23027,ME,Waldo County,47.4
23029,ME,Washington County,48.7
23031,ME,York County,45.2
24001,MD,Allegany County,41.6
24003,MD,Anne Arundel County,39.1
24005,MD,Baltimore County,39.8
24009,MD,Calvert County,40.5
24011,MD,Caroline County,40.3
24013,MD,Carroll County,41.5
24015,MD,Cecil County,40.8
24017,MD,Charles County,38.9
24019,MD,Dorchester County,44.7
24021,MD,Frederick County,39.1
24023,MD,Garrett County,47.6
24025,MD,Harford County,40.7
24027,MD,Howard County,39.6
24029,MD,Kent County,49.3
24031,MD,Montgomery County,40.5
24033,MD,Prince George's County,38.9
24035,MD,Queen Anne's County,44.9
24037,MD,St. Mary's County,37.3
24039,MD,Somerset County,38.5
24041,MD,Talbot County,51.3
24043,MD,Washington County,40.7
24045,MD,Wicomico County,36.3
24047,MD,Worcester County,51.1
24510,MD,Baltimore city,36.4
25001,MA,Barnstable County,55.6
25003,MA,Berkshire County,48
25005,MA,Bristol County,41.1
25007,MA,Dukes County,49.8
25009,MA,Essex County,41.1
25011,MA,Franklin County,47.1
25013,MA,Hampden County,39.5
25015,MA,Hampshire County,37.4
25017,MA,Middlesex County,39.1
25019,MA,Nantucket County,41.8
25021,MA,Norfolk County,40.9
25023,MA,Plymouth County,43.1
25025,MA,Suffolk County,34.2
25027,MA,Worcester County,40.4
26001,MI,Alcona County,58.9
26003,MI,Alger County,49
26005,MI,Allegan County,40.7
26007,MI,Alpena County,47.6
26009,MI,Antrim County,51.8
26011,MI,Arenac County,50.1
26013,MI,Baraga County,45.1
26015,MI,Barry County,42.9
26017,MI,Bay County,43.7
26019,MI,Benzie County,50.6
26021,MI,Berrien County,42.8
26023,MI,Branch County,41
26025,MI,Calhoun County,40
26027,MI,Cass County,45.3
26029,MI,Charlevoix County,50.5
26031,MI,Cheboygan County,52.2
26033,MI,Chippewa County,40.6
26035,MI,Clare County,48.5
26037,MI,Clinton County,41.7
26039,MI,Crawford County,51.3
26041,MI,Delta County,47.9
26043,MI,Dickinson County,45.9
26045,MI,Eaton County,41.7
26047,MI,Emmet County,46.7
26049,MI,Genesee County,40.9
26051,MI,Gladwin County,50.8
26053,MI,Gogebic County,51.6
26055,MI,Grand Traverse County,43.4
26057,MI,Gratiot County,39.4
26059,MI,Hillsdale County,42.8
26061,MI,Houghton County,32.4
26063,MI,Huron County,49.6
26065,MI,Ingham County,32.8
26067,MI,Ionia County,39
26069,MI,Iosco County,53.5
26071,MI,Iron County,53.6
26073,MI,Isabella County,29.9
26075,MI,Jackson County,41.1
26077,MI,Kalamazoo County,34.9
26079,MI,Kalkaska County,44.5
26081,MI,Kent County,36.1
26083,MI,Keweenaw County,56.2
26085,MI,Lake County,52.4
26087,MI,Lapeer County,44.6
26089,MI,Leelanau County,55.8
26091,MI,Lenawee County,42.3
26093,MI,Livingston County,44
26095,MI,Luce County,48.4
26097,MI,Mackinac County,52.6
26099,MI,Macomb County,41.2
26101,MI,Manistee County,50
26103,MI,Marquette County,39.3
26105,MI,Mason County,47
26107,MI,Mecosta County,40.3
26109,MI,Menominee County,49.7
26111,MI,Midland County,42.1
26113,MI,Missaukee County,43.2
26115,MI,Monroe County,42.8
26117,MI,Montcalm County,41
26119,MI,Montmorency County,56.6
26121,MI,Muskegon County,39.9
26123,MI,Newaygo County,42.9
26125,MI,Oakland County,41.5
26127,MI,Oceana County,44
26129,MI,Ogemaw County,50.5
26131,MI,Ontonagon County,59.2
26133,MI,Osceola County,43.6
26135,MI,Oscoda County,52.3
26137,MI,Otsego County,44.4
26139,MI,Ottawa County,36.4
26141,MI,Presque Isle County,56
26143,MI,Roscommon County,57.2
26145,MI,Saginaw County,41
26147,MI,St. Clair County,44.3
26149,MI,St. Joseph County,40
26151,MI,Sanilac County,45.6
26153,MI,Schoolcraft County,52.4
26155,MI,Shiawassee County,43
26157,MI,Tuscola County,44.8
26159,MI,Van Buren County,41.9
26161,MI,Washtenaw County,35.1
26163,MI,Wayne County,37.8
26165,MI,Wexford County,42.1
27001,MN,Aitkin County,57.2
27003,MN,Anoka County,39
27005,MN,Becker County,43
27007,MN,Beltrami County,35.2
27009,MN,Benton County,36.8
27011,MN,Big Stone County,47.5
27013,MN,Blue Earth County,31.6
27015,MN,Brown County,41.8
27017,MN,Carlton County,41.3
27019,MN,Carver County,39.4
27021,MN,Cass County,49.5
27023,MN,Chippewa County,41.1
27025,MN,Chisago County,40.9
27027,MN,Clay County,33.7
27029,MN,Clearwater County,41.1
27031,MN,Cook County,53
27033,MN,Cottonwood County,41.5
27035,MN,Crow Wing County,45.5
27037,MN,Dakota County,39
27039,MN,Dodge County,38.8
27041,MN,Douglas County,44.2
27043,MN,Faribault County,43.9
27045,MN,Fillmore County,42.4
27047,MN,Freeborn County,43.4
27049,MN,Goodhue County,42.5
27051,MN,Grant County,43.2
27053,MN,Hennepin County,37.7
27055,MN,Houston County,44.8
27057,MN,Hubbard County,48.4
27059,MN,Isanti County,40
27061,MN,Itasca County,47
27063,MN,Jackson County,44.4
27065,MN,Kanabec County,44.1
27067,MN,Kandiyohi County,40
27069,MN,Kittson County,47.3
27071,MN,Koochiching County,50.9
27073,MN,Lac qui Parle County,47.5
27075,MN,Lake County,49.1
27077,MN,Lake of the Woods County,49
27079,MN,Le Sueur County,41.7
27081,MN,Lincoln County,44.4
27083,MN,Lyon County,37.5
27085,MN,McLeod County,41.9
27087,MN,Mahnomen County,34.4
27089,MN,Marshall County,43.4
27091,MN,Martin County,44.5
27093,MN,Meeker County,42.3
27095,MN,Mille Lacs County,41
27097,MN,Morrison County,42.7
27099,MN,Mower County,38.7
27101,MN,Murray County,46.8
27103,MN,Nicollet County,38.2
27105,MN,Nobles County,36.9
27107,MN,Norman County,43.4
27109,MN,Olmsted County,37.8
27111,MN,Otter Tail County,46.1
27113,MN,Pennington County,40.5
27115,MN,Pine County,45.6
27117,MN,Pipestone County,40
27119,MN,Polk County,39.5
27121,MN,Pope County,45.1
27123,MN,Ramsey County,36.3
27125,MN,Red Lake County,43.3
27127,MN,Redwood County,40.6
27129,MN,Renville County,42.7
27131,MN,Rice County,37.5
27133,MN,Rock County,41.3
27135,MN,Roseau County,42.5
27137,MN,St. Louis County,41.3
27139,MN,Scott County,37.9
27141,MN,Sherburne County,36.9
27143,MN,Sibley County,41.8
27145,MN,Stearns County,35
27147,MN,Steele County,40.2
27149,MN,Stevens County,33.5
27151,MN,Swift County,43.2
27153,MN,Todd County,43.8
27155,MN,Traverse County,46
27157,MN,Wabasha County,45.1
27159,MN,Wadena County,40
27161,MN,Waseca County,40.4
27163,MN,Washington County,40
27165,MN,Watonwan County,40.9
27167,MN,Wilkin County,42.4
27169,MN,Winona County,36.8
27171,MN,Wright County,37.7
27173,MN,Yellow Medicine County,41.9
28001,MS,Adams County,43
28003,MS,Alcorn County,40.9
28005,MS,Amite County,47.7
28007,MS,Attala County,39.7
28009,MS,Benton County,42.4
28011,MS,Bolivar County,37.3
28013,MS,Calhoun County,42.5
28015,MS,Carroll County,46.5
28017,MS,Chickasaw County,38.2
28019,MS,Choctaw County,44.2
28021,MS,Claiborne County,33.9
28023,MS,Clarke County,42.7
28025,MS,Clay County,40.2
28027,MS,Coahoma County,35.8
28029,MS,Copiah County,40.6
28031,MS,Covington County,38.7
28033,MS,DeSoto County,37.4
28035,MS,Forrest County,32.4
28037,MS,Franklin County,42.7
28039,MS,George County,36
28041,MS,Greene County,39.1
28043,MS,Grenada County,39.7
28045,MS,Hancock County,46.1
28047,MS,Harrison County,38.3
28049,MS,Hinds County,36.9
28051,MS,Holmes County,36.2
28053,MS,Humphreys County,39.2
28055,MS,Issaquena County,37.6
28057,MS,Itawamba County,38.9
28059,MS,Jackson County,40
28061,MS,Jasper County,42.4
28063,MS,Jefferson County,40.6
28065,MS,Jefferson Davis County,45.3
28067,MS,Jones County,38.6
28069,MS,Kemper County,41.6
28071,MS,Lafayette County,31.8
28073,MS,Lamar County,37.6
28075,MS,Lauderdale County,39.4
28077,MS,Lawrence County,41.3
28079,MS,Leake County,40.2
28081,MS,Lee County,37.6
28083,MS,Leflore County,34.5
28085,MS,Lincoln County,40.7
28087,MS,Lowndes County,37.7
28089,MS,Madison County,39
28091,MS,Marion County,40.4
28093,MS,Marshall County,41.5
28095,MS,Monroe County,41.7
28097,MS,Montgomery County,43.1
28099,MS,Neshoba County,35.8
28101,MS,Newton County,37.8
28103,MS,Noxubee County,37.3
28105,MS,Oktibbeha County,25.4
28107,MS,Panola County,38.9
28109,MS,Pearl River County,40.9
28111,MS,Perry County,41.3
28113,MS,Pike County,37.8
28115,MS,Pontotoc County,37
28117,MS,Prentiss County,38.1
28119,MS,Quitman County,39.9
28121,MS,Rankin County,39.5
28123,MS,Scott County,37.3
28125,MS,Sharkey County,42.9
28127,MS,Simpson County,40.8
28129,MS,Smith County,41.8
28131,MS,Stone County,39.4
28133,MS,Sunflower County,36.9
28135,MS,Tallahatchie County,38.4
28137,MS,Tate County,38.2
28139,MS,Tippah County,39.3
28141,MS,Tishomingo County,43.1
28143,MS,Tunica County,34.7
28145,MS,Union County,38.1
28147,MS,Walthall County,42.3
28149,MS,Warren County,40.5
28151,MS,Washington County,38.5
28153,MS,Wayne County,39.2
28155,MS,Webster County,40.3
28157,MS,Wilkinson County,40.2
28159,MS,Winston County,42.4
28161,MS,Yalobusha County,43.1
28163,MS,Yazoo County,36.9
29001,MO,Adair County,28.5
29003,MO,Andrew County,42.2
29005,MO,Atchison County,46.9
29007,MO,Audrain County,40.3
29009,MO,Barry County,43.5
29011,MO,Barton County,41.8
29013,MO,Bates County,41.3
29015,MO,Benton County,54
29017,MO,Bollinger County,44.4
29019,MO,Boone County,32.3
29021,MO,Buchanan County,38.9
29023,MO,Butler County,40
29025,MO,Caldwell County,42.1
29027,MO,Callaway County,40.2
29029,MO,Camden County,53.1
29031,MO,Cape Girardeau County,36.8
29033,MO,Carroll County,43.6
29035,MO,Carter County,42.5
29037,MO,Cass County,40.5
29039,MO,Cedar County,43.4
29041,MO,Chariton County,44.9
29043,MO,Christian County,39
29045,MO,Clark County,43.3
29047,MO,Clay County,38
29049,MO,Clinton County,41.6
29051,MO,Cole County,39.8
29053,MO,Cooper County,40.9
29055,MO,Crawford County,43
29057,MO,Dade County,46.4
29059,MO,Dallas County,41.8
29061,MO,Daviess County,41.6
29063,MO,DeKalb County,41.5
29065,MO,Dent County,44.1
29067,MO,Douglas County,45.4
29069,MO,Dunklin County,39.3
29071,MO,Franklin County,41.7
29073,MO,Gasconade County,46
29075,MO,Gentry County,39.3
29077,MO,Greene County,36.7
29079,MO,Grundy County,40.2
29081,MO,Harrison County,41.9
29083,MO,Henry County,43.2
29085,MO,Hickory County,54.8
29087,MO,Holt County,47.4
29089,MO,Howard County,39.2
29091,MO,Howell County,40.5
29093,MO,Iron County,45
29095,MO,Jackson County,37.2
29097,MO,Jasper County,36.9
29099,MO,Jefferson County,40.5
29101,MO,Johnson County,30.9
29103,MO,Knox County,41.3
29105,MO,Laclede County,40
29107,MO,Lafayette County,41.4
29109,MO,Lawrence County,38.9
29111,MO,Lewis County,38.6
29113,MO,Lincoln County,37.4
29115,MO,Linn County,41.7
29117,MO,Livingston County,40.7
29119,MO,McDonald County,39.2
29121,MO,Macon County,42.9
29123,MO,Madison County,42.1
29125,MO,Maries County,44.9
29127,MO,Marion County,39.8
29129,MO,Mercer County,43.7
29131,MO,Miller County,40.9
29133,MO,Mississippi County,40.4
29135,MO,Moniteau County,38.8
29137,MO,Monroe County,46.3
29139,MO,Montgomery County,43.4
29141,MO,Morgan County,44.7
29143,MO,New Madrid County,42.1
29145,MO,Newton County,40.3
29147,MO,Nodaway County,33.5
29149,MO,Oregon County,43.9
29151,MO,Osage County,41.1
29153,MO,Ozark County,51.1
29155,MO,Pemiscot County,38.8
29157,MO,Perry County,42.1
29159,MO,Pettis County,38.1
29161,MO,Phelps County,36
29163,MO,Pike County,40.4
29165,MO,Platte County,39.2
29167,MO,Polk County,38.3
29169,MO,Pulaski County,28.5
29171,MO,Putnam County,44
29173,MO,Ralls County,46.2
29175,MO,Randolph County,39.5
29177,MO,Ray County,42.2
29179,MO,Reynolds County,47.9
29181,MO,Ripley County,41.5
29183,MO,St. Charles County,39.9
29185,MO,St. Clair County,47.6
29186,MO,Ste. Genevieve County,43
29187,MO,St. Francois County,39.9
29189,MO,St. Louis County,40.4
29195,MO,Saline County,37.5
29197,MO,Schuyler County,39.2
29199,MO,Scotland County,36.6
29201,MO,Scott County,39.6
29203,MO,Shannon County,45
29205,MO,Shelby County,41.9
29207,MO,Stoddard County,42.3
29209,MO,Stone County,54.5
29211,MO,Sullivan County,43.7
29213,MO,Taney County,42.8
29215,MO,Texas County,42.6
29217,MO,Vernon County,41
29219,MO,Warren County,40.6
29221,MO,Washington County,41.4
29223,MO,Wayne County,47.8
29225,MO,Webster County,36.7
29227,MO,Worth County,48.9
29229,MO,Wright County,39.5
29510,MO,St. Louis city,37.1
30001,MT,Beaverhead County,42.7
30003,MT,Big Horn County,32.1
30005,MT,Blaine County,35.1
30007,MT,Broadwater County,45.9
30009,MT,Carbon County,49.7
30011,MT,Carter County,47.9
30013,MT,Cascade County,38.4
30015,MT,Chouteau County,43.6
30017,MT,Custer County,42.1
30019,MT,Daniels County,45.6
30021,MT,Dawson County,41.7
30023,MT,Deer Lodge County,50
30025,MT,Fallon County,38.6
30027,MT,Fergus County,44.7
30029,MT,Flathead County,42
30031,MT,Gallatin County,33.8
30033,MT,Garfield County,43.9
30035,MT,Glacier County,33
30037,MT,Golden Valley County,55.3
30039,MT,Granite County,54.5
30041,MT,Hill County,34.5
30043,MT,Jefferson County,46.6
30045,MT,Judith Basin County,49.1
30047,MT,Lake County,43.8
30049,MT,Lewis and Clark County,41.4
30051,MT,Liberty County,42.8
30053,MT,Lincoln County,52
30055,MT,McCone County,48.5
30057,MT,Madison County,51.4
30059,MT,Meagher County,52
30061,MT,Mineral County,50.4
30063,MT,Missoula County,37.2
30065,MT,Musselshell County,48.8
30067,MT,Park County,46.6
30069,MT,Petroleum County,55.7
30071,MT,Phillips County,44.5
30073,MT,Pondera County,41.7
30075,MT,Powder River County,53
30077,MT,Powell County,44.7
30079,MT,Prairie County,52.6
30081,MT,Ravalli County,48.5
30083,MT,Richland County,38.7
30085,MT,Roosevelt County,30.6
30087,MT,Rosebud County,35.7
30089,MT,Sanders County,54.4
30091,MT,Sheridan County,46.1
30093,MT,Silver Bow County,40.1
30095,MT,Stillwater County,46.9
30097,MT,Sweet Grass County,48.7
30099,MT,Teton County,42.8
30101,MT,Toole County,39.2
30103,MT,Treasure County,47
30105,MT,Valley County,44.6
30107,MT,Wheatland County,43.7
30109,MT,Wibaux County,46.6
30111,MT,Yellowstone County,38.6
31001,NE,Adams County,38.7
31003,NE,Antelope County,42.6
31005,NE,Arthur County,42.4
31007,NE,Banner County,46.8
31009,NE,Blaine County,48.5
31011,NE,Boone County,42.7
31013,NE,Box Butte County,40
31015,NE,Boyd County,52.6
31017,NE,Brown County,45.2
31019,NE,Buffalo County,34.9
31021,NE,Burt County,43.8
31023,NE,Butler County,42
31025,NE,Cass County,42
31027,NE,Cedar County,42.3
31029,NE,Chase County,42.7
31031,NE,Cherry County,41.7
31033,NE,Cheyenne County,42.2
31035,NE,Clay County,40.5
31037,NE,Colfax County,35.5
31039,NE,Cuming County,41.4
31041,NE,Custer County,42.4
31043,NE,Dakota County,33.6
31045,NE,Dawes County,36.8
31047,NE,Dawson County,36.5
31049,NE,Deuel County,49.9
31051,NE,Dixon County,42
31053,NE,Dodge County,39.4
31055,NE,Douglas County,35.7
31057,NE,Dundy County,48.3
31059,NE,Fillmore County,46.3
31061,NE,Franklin County,47.7
31063,NE,Frontier County,44.1
31065,NE,Furnas County,45.6
31067,NE,Gage County,43.4
31069,NE,Garden County,51.4
31071,NE,Garfield County,50.6
31073,NE,Gosper County,45.5
31075,NE,Grant County,42.3
31077,NE,Greeley County,43.4
31079,NE,Hall County,36.5
31081,NE,Hamilton County,40.9
31083,NE,Harlan County,49.6
31085,NE,Hayes County,45.2
31087,NE,Hitchcock County,43.9
31089,NE,Holt County,42.2
31091,NE,Hooker County,45.9
31093,NE,Howard County,42.9
31095,NE,Jefferson County,44.4
31097,NE,Johnson County,41.5
31099,NE,Kearney County,40.5
31101,NE,Keith County,49
31103,NE,Keya Paha County,53.6
31105,NE,Kimball County,48.2
31107,NE,Knox County,44.3
31109,NE,Lancaster County,34.4
31111,NE,Lincoln County,42.1
31113,NE,Logan County,44
31115,NE,Loup County,50.8
31117,NE,McPherson County,51
31119,NE,Madison County,37.5
31121,NE,Merrick County,42.9
31123,NE,Morrill County,42.7
31125,NE,Nance County,42.6
31127,NE,Nemaha County,38.9
31129,NE,Nuckolls County,47.8
31131,NE,Otoe County,41.6
31133,NE,Pawnee County,47.8
31135,NE,Perkins County,42.6
31137,NE,Phelps County,40.4
31139,NE,Pierce County,40.2
31141,NE,Platte County,38.4
31143,NE,Polk County,43.9
31145,NE,Red Willow County,41.7
31147,NE,Richardson County,45.6
31149,NE,Rock County,46.1
31151,NE,Saline County,38.4
31153,NE,Sarpy County,35.8
31155,NE,Saunders County,40.6
